iter,CW
1,2.5
2,4.0
3,5.5
4,7.0
5,8.5
6,10.0
7,11.5
8,13.0
9,14.5
10,16.0
11,17.5
12,19.0
13,20.5
14,22.0
15,23.5
16,25.0
17,26.5
18,28.0
19,29.5
20,31.0
21,32.5
22,34.0
23,35.5
24,37.0
25,38.5
26,40.0
27,41.5
28,43.0
29,44.5
30,46.0
31,47.5
32,49.0
33,50.5
34,52.0
35,53.5
36,55.0
37,56.5
38,58.0
39,59.5
40,61.0
41,62.5
42,64.0
43,65.5
44,67.0
45,68.5
46,70.0
47,71.5
48,73.0
49,74.5
50,76.0
51,77.5
52,79.0
53,80.5
54,82.0
55,83.5
56,85.0
57,86.5
58,88.0
59,89.5
60,91.0
61,92.5
62,94.0
63,95.5
64,97.0
65,98.5
66,100.0
67,101.5
68,103.0
69,104.5
70,106.0
71,107.5
72,109.0
73,110.5
74,112.0
75,113.5
76,115.0
77,116.5
78,118.0
79,119.5
80,121.0
81,122.5
82,124.0
83,125.5
84,127.0
85,128.5
86,130.0
87,131.5
88,133.0
89,134.5
90,136.0
91,137.5
92,139.0
93,140.5
94,142.0
95,143.5
96,145.0
97,146.5
98,148.0
99,149.5
100,151.0
101,152.5
102,154.0
103,155.5
104,157.0
105,158.5
106,160.0
107,161.5
108,163.0
109,164.5
110,166.0
111,167.5
112,169.0
113,170.5
114,172.0
115,173.5
116,175.0
117,176.5
118,178.0
119,179.5
120,181.0
121,182.5
122,184.0
123,185.5
124,187.0
125,188.5
126,190.0
127,191.5
128,193.0
129,194.5
130,196.0
131,197.5
132,199.0
133,200.5
134,202.0
135,203.5
136,205.0
137,206.5
138,208.0
139,209.5
140,211.0
141,212.5
142,214.0
143,215.5
144,217.0
145,218.5
146,220.0
147,221.5
148,223.0
149,224.5
150,226.0
151,227.5
152,229.0
153,230.5
154,232.0
155,233.5
156,235.0
157,236.5
158,238.0
159,239.5
160,241.0
161,242.5
162,244.0
163,245.5
164,247.0
165,248.5
166,250.0
167,251.5
168,253.0
169,254.5
170,256.0
171,257.5
172,259.0
173,260.5
174,262.0
175,263.5
176,265.0
177,266.5
178,268.0
179,269.5
180,271.0
181,272.5
182,274.0
183,275.5
184,277.0
185,278.5
186,280.0
187,281.5
188,283.0
189,284.5
190,286.0
191,287.5
192,289.0
193,290.5
194,292.0
195,293.5
196,295.0
197,296.5
198,298.0
199,299.5
200,301.0
201,302.5
202,304.0
203,305.5
204,307.0
205,308.5
206,310.0
207,311.5
208,313.0
209,314.5
210,316.0
211,317.5
212,319.0
213,320.5
214,322.0
215,323.5
216,325.0
217,326.5
218,328.0
219,329.5
220,331.0
221,332.5
222,334.0
223,335.5
224,337.0
225,338.5
226,340.0
227,341.5
228,343.0
229,344.5
230,346.0
231,347.5
232,349.0
233,350.5
234,352.0
235,353.5
236,355.0
237,356.5
238,358.0
239,359.5
240,361.0
241,362.5
242,364.0
243,365.5
244,367.0
245,368.5
246,370.0
247,371.5
248,373.0
249,374.5
250,376.0
251,377.5
252,379.0
253,380.5
254,382.0
255,383.5
256,385.0
257,386.5
258,388.0
259,389.5
260,391.0
261,392.5
262,394.0
263,395.5
264,397.0
265,398.5
266,400.0
267,401.5
268,403.0
269,404.5
270,406.0
271,407.5
272,409.0
273,410.5
274,412.0
275,413.5
276,415.0
277,416.5
278,418.0
279,419.5
280,421.0
281,422.5
282,424.0
283,425.5
284,427.0
285,428.5
286,430.0
287,431.5
288,433.0
289,434.5
290,436.0
291,437.5
292,439.0
293,440.5
294,442.0
295,443.5
296,445.0
297,446.5
298,448.0
299,449.5
300,451.0
301,452.5
302,454.0
303,455.5
304,457.0
305,458.5
306,460.0
307,461.5
308,463.0
309,464.5
310,466.0
311,467.5
312,469.0
313,470.5
314,472.0
315,473.5
316,475.0
317,476.5
318,478.0
319,479.5
320,481.0
321,482.5
322,484.0
323,485.5
324,487.0
325,488.5
326,490.0
327,491.5
328,493.0
329,494.5
330,496.0
331,497.5
332,499.0
333,500.5
334,502.0
335,503.5
336,505.0
337,506.5
338,508.0
339,509.5
340,511.0
341,512.5
342,514.0
343,515.5
344,517.0
345,518.5
346,520.0
347,521.5
348,523.0
349,524.5
350,526.0
351,527.5
352,529.0
353,530.5
354,532.0
355,533.5
356,535.0
357,536.5
358,538.0
359,539.5
360,541.0
361,542.5
362,544.0
363,545.5
364,547.0
365,548.5
366,550.0
367,551.5
368,553.0
369,554.5
370,556.0
371,557.5
372,559.0
373,560.5
374,562.0
375,563.5
376,565.0
377,566.5
378,568.0
379,569.5
380,571.0
381,572.5
382,574.0
383,575.5
384,577.0
385,578.5
386,580.0
387,581.5
388,583.0
389,584.5
390,586.0
391,587.5
392,589.0
393,590.5
394,592.0
395,593.5
396,595.0
397,596.5
398,598.0
399,599.5
400,601.0
401,602.5
402,604.0
403,605.5
404,607.0
405,608.5
406,610.0
407,611.5
408,613.0
409,614.5
410,616.0
411,617.5
412,619.0
413,620.5
414,622.0
415,623.5
416,625.0
417,626.5
418,628.0
419,629.5
420,631.0
421,632.5
422,634.0
423,635.5
424,637.0
425,638.5
426,640.0
427,641.5
428,643.0
429,644.5
430,646.0
431,647.5
432,649.0
433,650.5
434,652.0
435,653.5
436,655.0
437,656.5
438,658.0
439,659.5
440,661.0
441,662.5
442,664.0
443,665.5
444,667.0
445,668.5
446,670.0
447,671.5
448,673.0
449,674.5
450,676.0
451,677.5
452,679.0
453,680.5
454,682.0
455,683.5
456,685.0
457,686.5
458,688.0
459,689.5
460,691.0
461,692.5
462,694.0
463,695.5
464,697.0
465,698.5
466,700.0
467,701.5
468,703.0
469,704.5
470,706.0
471,707.5
472,709.0
473,710.5
474,712.0
475,713.5
476,715.0
477,716.5
478,718.0
479,719.5
480,721.0
481,722.5
482,724.0
483,725.5
484,727.0
485,728.5
486,730.0
487,731.5
488,733.0
489,734.5
490,736.0
491,737.5
492,739.0
493,740.5
494,742.0
495,743.5
496,745.0
497,746.5
498,748.0
499,749.5
500,751.0
501,752.5
502,754.0
503,755.5
504,757.0
505,758.5
506,760.0
507,761.5
508,763.0
509,764.5
510,766.0
511,767.5
512,767.5
513,767.5007
514,767.50134
515,767.502
516,767.5027
517,767.50336
518,767.504
519,767.5047
520,767.5054
521,767.50604
522,767.5067
523,767.5074
